2026-06-30 13:03:10.638 | DEBUG    | __main__:read_pdf:170 - PDF: 250708_Charles Gikanga Kamau.pdf → 75747 chars
2026-06-30 13:03:20.146 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Eng. Charles Gikanga Kamau
2026-06-30 13:03:44.793 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Eng. Charles Gikanga Kamau: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:03:45.179 | DEBUG    | __main__:read_docx:201 - DOCX: ABDI.docx → 7990 chars
2026-06-30 13:03:52.157 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Salahweli Harun Abdi
2026-06-30 13:04:21.740 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Salahweli Harun Abdi: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:04:22.708 | DEBUG    | __main__:read_pdf:170 - PDF: AHMED HASSAN CV 2022 sept-2.pdf → 13530 chars
2026-06-30 13:04:31.275 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Ahmed Adan Hassan
2026-06-30 13:04:37.564 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Ahmed Adan Hassan: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:04:37.928 | DEBUG    | __main__:read_docx:201 - DOCX: Abdifatah Hussein Aden-cv IOM.docx → 14690 chars
2026-06-30 13:04:46.486 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Aden Hussein
2026-06-30 13:04:56.227 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdifatah Aden Hussein: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:04:56.624 | DEBUG    | __main__:read_docx:201 - DOCX: Abdifitah hussein aden- enviromental health.docx → 11104 chars
2026-06-30 13:05:04.766 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Aden Hussein
2026-06-30 13:05:12.672 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdifatah Aden Hussein: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:05:13.046 | DEBUG    | __main__:read_docx:201 - DOCX: Abdikadir CV IOM.......docx → 19763 chars
2026-06-30 13:05:22.958 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdikadir Adan Hussein
2026-06-30 13:05:25.906 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdikadir Adan Hussein: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:05:26.312 | DEBUG    | __main__:read_docx:201 - DOCX: Abdiladif Ahmed_climate change.docx → 12206 chars
2026-06-30 13:05:34.060 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdiladif Ahmed Haret
2026-06-30 13:05:36.925 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdiladif Ahmed Haret: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:05:37.307 | DEBUG    | __main__:read_docx:201 - DOCX: Akama Maiko Erick.docx → 8812 chars
2026-06-30 13:05:44.521 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Akama Maiko Erick
2026-06-30 13:05:48.515 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Akama Maiko Erick: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:05:49.362 | DEBUG    | __main__:read_pdf:170 - PDF: Amina CV 2025 -FINAL .pdf → 7819 chars
2026-06-30 13:05:55.652 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Amina Aden Maalim
2026-06-30 13:06:04.698 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Amina Aden Maalim: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:06:05.079 | DEBUG    | __main__:read_docx:201 - DOCX: Amina aden_climate change.docx → 6141 chars
2026-06-30 13:06:11.944 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Amina Aden Maalim
2026-06-30 13:06:46.550 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Amina Aden Maalim: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:06:47.855 | DEBUG    | __main__:read_pdf:170 - PDF: CV Updated -Dr Mohamed Muhumed Yussuf.pdf → 21833 chars
2026-06-30 13:06:56.588 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Dr Mohamed Muhumed Yussuf
2026-06-30 13:07:02.033 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Dr Mohamed Muhumed Yussuf: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:07:02.424 | DEBUG    | __main__:read_docx:201 - DOCX: CV- Kogo_Apr 25.docx → 12438 chars
2026-06-30 13:07:13.151 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Paul Kogo
2026-06-30 13:07:27.684 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Paul Kogo: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
